envio_id,fecha_despacho,transportista_id,ciudad_origen,ciudad_destino,peso_kg,costo_envio,estado,dias_transito
96,2025-12-27,328,Bogotá,Monterrey,585.8,4459.97,En tránsito,11
97,2025-04-03,327,Lima,Bogotá,607.7,1932.51,Devuelto,6
98,2025-09-29,325,Guadalajara,Santiago,813.2,2953.81,Retrasado,15
99,2025-06-22,329,Monterrey,Buenos Aires,307.0,739.97,Retrasado,17
100,2025-10-31,323,San José,Córdoba,719.1,3266.47,Devuelto,3
101,2026-02-19,307,Bogotá,Montevideo,809.7,942.93,Retrasado,18
102,2026-01-30,312,Guadalajara,Buenos Aires,98.9,5739.96,Retrasado,3
103,2025-02-11,311,Santiago,Medellín,234.0,997.67,Retrasado,1
104,2025-09-09,316,Santiago,Montevideo,831.4,2686.91,En tránsito,5
105,2025-01-22,301,Lima,Santiago,814.7,2940.98,Devuelto,14
106,2025-07-16,318,Córdoba,Quito,392.0,5099.6,Devuelto,13
107,2025-09-27,324,Lima,Monterrey,410.0,2237.93,En tránsito,11
108,2025-05-18,318,Monterrey,Bogotá,305.9,4978.49,En tránsito,18
109,2026-06-04,319,Buenos Aires,Bogotá,673.1,3249.33,Entregado,8
110,2026-07-22,324,Monterrey,San José,780.1,1405.87,Retrasado,2
111,2026-05-25,315,Quito,Medellín,561.7,462.77,En tránsito,1
112,2025-02-28,318,Medellín,Córdoba,851.1,2901.63,En tránsito,3
113,2025-10-10,322,Monterrey,Bogotá,541.5,5688.32,Entregado,16
114,2026-02-10,314,Montevideo,Buenos Aires,204.8,2756.5,Retrasado,11
115,2026-02-21,308,Quito,Córdoba,137.4,3274.51,Retrasado,1
116,2025-05-03,320,Ciudad de México,Monterrey,736.0,500.4,Entregado,17
117,2025-07-19,314,Montevideo,Buenos Aires,236.7,3641.03,En tránsito,6
118,2025-05-03,301,San José,Medellín,315.5,637.44,Devuelto,13
119,2026-05-01,326,Guadalajara,Montevideo,132.0,2112.31,Entregado,10
120,2025-09-16,312,Buenos Aires,Guadalajara,474.9,1172.63,Devuelto,7
121,2025-03-25,308,Monterrey,San José,323.1,4530.75,Retrasado,1
122,2026-07-25,329,Quito,Ciudad de México,56.7,2289.03,En tránsito,1
123,2025-12-01,317,Ciudad de México,Montevideo,365.8,243.71,Retrasado,3
124,2026-05-26,306,Santiago,San José,173.1,1372.77,Retrasado,4
125,2026-01-19,328,San José,Buenos Aires,545.5,5357.31,En tránsito,17
126,2025-02-09,305,Medellín,Ciudad de México,888.6,5338.34,Entregado,10
127,2025-12-24,330,Lima,Bogotá,649.0,3573.43,En tránsito,4
128,2025-06-08,316,Santiago,Quito,947.5,5526.39,Devuelto,18
129,2025-04-30,327,Guadalajara,Medellín,635.4,467.54,En tránsito,12
130,2025-07-12,305,Santiago,Medellín,754.5,326.22,Entregado,16
131,2025-04-12,326,San José,Quito,805.5,618.44,Retrasado,17
132,2026-06-19,319,Quito,Córdoba,374.8,3314.58,En tránsito,10
133,2025-07-22,311,Buenos Aires,Medellín,278.7,3787.93,Devuelto,14
134,2025-01-25,313,Bogotá,Medellín,466.9,1983.37,Devuelto,13
135,2025-02-26,310,Medellín,Lima,501.4,326.46,Entregado,10
136,2026-07-10,329,Quito,Montevideo,165.1,1936.83,Entregado,18
137,2026-01-30,301,Ciudad de México,Lima,179.2,5787.99,Entregado,14
138,2025-07-02,324,Córdoba,Montevideo,483.6,4112.31,Entregado,7
139,2025-08-15,304,Medellín,Buenos Aires,676.9,511.94,En tránsito,16
140,2025-01-16,307,Quito,San José,43.4,2338.41,Entregado,10
141,2025-12-05,301,Santiago,San José,935.2,5923.55,En tránsito,12
142,2025-06-09,330,Guadalajara,Ciudad de México,135.0,1537.35,Retrasado,14
143,2025-11-14,322,Quito,San José,195.0,5281.79,Retrasado,14
144,2026-02-28,323,Ciudad de México,Guadalajara,358.6,5068.39,En tránsito,16
145,2026-02-09,309,Quito,Ciudad de México,40.2,4621.39,En tránsito,8
146,2025-04-29,303,San José,Bogotá,151.4,4763.85,Entregado,6
147,2025-09-20,318,Monterrey,Buenos Aires,907.6,4312.94,Devuelto,10
148,2026-08-07,318,Lima,Montevideo,248.8,4585.06,Devuelto,7
149,2025-07-25,303,Córdoba,Medellín,121.2,5973.71,Devuelto,16
150,2025-02-08,304,Bogotá,Santiago,791.5,1172.11,Entregado,8
151,2026-03-25,314,Quito,Monterrey,701.6,2696.78,Entregado,17
152,2025-11-22,325,Santiago,Montevideo,42.0,164.13,En tránsito,11
153,2025-12-25,328,Lima,Buenos Aires,439.2,5417.25,Entregado,13
154,2026-06-02,313,Buenos Aires,Lima,60.9,1169.06,En tránsito,11
155,2025-01-26,322,Montevideo,Medellín,827.8,490.75,En tránsito,17
156,2025-05-27,310,Córdoba,Buenos Aires,520.0,1959.92,Entregado,3
157,2025-01-18,314,Córdoba,Montevideo,587.8,1085.9,Retrasado,12
158,2025-08-28,302,Buenos Aires,Bogotá,6.1,100.25,Entregado,13
159,2025-08-18,325,Quito,Bogotá,724.2,288.36,Entregado,1
160,2026-01-31,321,Medellín,Quito,268.7,3727.01,Devuelto,8
161,2025-09-14,322,Medellín,Quito,328.2,5928.83,Devuelto,16
162,2026-07-04,330,Buenos Aires,Medellín,835.5,1405.13,Retrasado,6
163,2026-01-12,313,Lima,Buenos Aires,703.1,2635.88,Retrasado,5
164,2026-07-09,302,Medellín,Guadalajara,809.2,5925.94,En tránsito,12
165,2026-03-04,307,Guadalajara,Montevideo,437.8,2757.69,Devuelto,15
166,2026-02-13,312,Monterrey,Montevideo,126.9,3217.23,En tránsito,7
167,2025-07-19,323,Santiago,Quito,900.6,4397.5,Retrasado,15
168,2025-11-11,318,Guadalajara,Monterrey,203.2,916.68,Entregado,18
169,2026-02-27,321,Medellín,Lima,48.8,1365.69,En tránsito,13
170,2025-07-04,330,Córdoba,Guadalajara,896.1,221.11,En tránsito,13
171,2025-10-07,319,San José,Buenos Aires,934.5,4109.33,En tránsito,13
172,2026-02-26,319,Santiago,Buenos Aires,301.0,1534.54,En tránsito,16
173,2026-06-28,311,Quito,Montevideo,698.7,5265.43,Entregado,3
174,2025-02-24,303,Ciudad de México,Montevideo,315.3,612.49,Retrasado,7
175,2025-11-11,324,Buenos Aires,Santiago,798.7,2228.61,Retrasado,15
176,2025-10-24,316,Monterrey,Buenos Aires,288.4,4829.83,En tránsito,5
177,2026-06-30,306,Guadalajara,Bogotá,864.8,2505.3,Devuelto,9
178,2025-05-31,323,Santiago,Bogotá,863.8,654.65,Entregado,5
179,2026-01-24,329,Guadalajara,Medellín,453.3,4621.46,Retrasado,15
180,2026-04-04,319,Quito,Buenos Aires,849.3,5824.16,Retrasado,11
181,2025-07-01,303,Monterrey,Bogotá,128.6,1856.62,Devuelto,5
182,2025-11-25,304,San José,Santiago,278.1,4773.27,Entregado,12
183,2026-03-04,320,Medellín,Ciudad de México,942.1,2242.08,Retrasado,7
184,2025-01-25,317,Lima,Córdoba,465.4,5442.43,Entregado,8
185,2026-04-05,323,Lima,Montevideo,946.3,2078.11,Retrasado,15
186,2026-07-19,322,Bogotá,Monterrey,30.3,5242.48,Entregado,1
187,2026-04-27,310,Guadalajara,Santiago,361.3,293.02,Retrasado,13
188,2026-03-11,311,Monterrey,Córdoba,387.1,2105.4,Retrasado,9
189,2025-10-16,318,Santiago,Medellín,253.7,5487.08,Entregado,11
190,2025-01-24,328,Córdoba,Bogotá,770.3,4852.86,Entregado,8
191,2025-03-08,303,Buenos Aires,Monterrey,146.7,4824.63,Entregado,3
192,2025-12-16,301,Montevideo,Ciudad de México,826.7,3735.37,En tránsito,15
193,2025-04-19,321,Monterrey,San José,582.1,412.51,En tránsito,7
194,2025-07-10,330,Montevideo,Bogotá,87.6,5712.24,Entregado,14
195,2025-08-04,326,San José,Santiago,48.0,550.12,Retrasado,17
196,2026-05-23,307,Medellín,Santiago,575.4,1181.5,Retrasado,2
197,2025-01-07,315,Buenos Aires,Córdoba,76.0,5847.21,Retrasado,5
198,2025-07-13,329,Córdoba,Quito,665.1,4240.98,Entregado,7
199,2025-06-16,306,Monterrey,Santiago,375.2,5029.36,Retrasado,14
200,2025-08-12,317,San José,Lima,405.5,4960.85,En tránsito,17
201,2025-09-15,301,San José,Montevideo,267.7,1034.68,Entregado,3
202,2026-03-17,316,Monterrey,Ciudad de México,76.4,4605.45,Devuelto,1
203,2025-11-23,324,San José,Bogotá,558.9,5504.69,Retrasado,3
204,2026-04-07,319,Lima,Monterrey,340.5,4880.91,Retrasado,16
205,2026-07-14,310,Medellín,Monterrey,949.1,1206.49,En tránsito,2
206,2026-04-22,323,Monterrey,Guadalajara,836.0,2000.26,Devuelto,15
207,2025-06-06,328,Medellín,Montevideo,135.4,4523.27,Devuelto,1
208,2026-01-26,328,Buenos Aires,Monterrey,940.3,3822.58,Devuelto,12
209,2025-06-26,301,Guadalajara,San José,143.9,5680.57,En tránsito,4
210,2025-06-03,301,Guadalajara,Medellín,257.7,1250.72,Devuelto,13
211,2025-10-12,306,Lima,Córdoba,216.7,2960.29,Devuelto,14
212,2025-03-03,314,Buenos Aires,Medellín,336.0,707.59,Retrasado,16
213,2025-08-29,320,Lima,Buenos Aires,493.1,3005.85,En tránsito,14
214,2025-06-12,316,Ciudad de México,Lima,322.0,1918.82,Devuelto,4
215,2025-10-16,320,Buenos Aires,Córdoba,324.4,2290.26,En tránsito,12
216,2025-01-19,319,Medellín,Bogotá,425.0,2548.64,En tránsito,11
217,2026-05-03,323,Santiago,Monterrey,747.6,3365.57,Retrasado,7
218,2026-08-10,329,Buenos Aires,Monterrey,922.6,1435.25,En tránsito,8
219,2025-01-20,316,Quito,Medellín,298.1,5293.91,Devuelto,5
220,2026-06-26,320,Monterrey,Bogotá,466.6,3647.39,Retrasado,3
221,2025-10-10,315,Guadalajara,Santiago,676.5,2233.59,Entregado,16
222,2025-01-04,308,Santiago,San José,311.2,4963.03,Devuelto,18
223,2026-05-12,305,Lima,Monterrey,936.0,3660.24,En tránsito,7
224,2025-05-04,330,Quito,Montevideo,281.2,438.53,En tránsito,17
225,2025-09-12,326,Córdoba,Lima,751.3,2584.11,Entregado,10
226,2025-10-31,309,Santiago,Buenos Aires,24.5,3937.68,Devuelto,3
227,2026-04-03,312,Medellín,Buenos Aires,594.8,3367.17,Devuelto,11
228,2025-10-10,304,Lima,Medellín,188.3,3670.73,Retrasado,6
229,2025-01-18,319,Buenos Aires,Monterrey,118.2,5217.01,Devuelto,12
230,2026-07-18,305,Monterrey,Guadalajara,24.7,2650.82,Retrasado,13
231,2025-02-05,306,Monterrey,Quito,611.6,1998.16,Entregado,17
232,2026-05-24,302,Montevideo,Buenos Aires,61.2,481.94,En tránsito,4
233,2025-04-05,317,Buenos Aires,Santiago,717.0,5836.13,Retrasado,3
234,2026-05-20,314,Monterrey,Bogotá,380.8,447.93,Devuelto,13
235,2025-04-02,323,Buenos Aires,Córdoba,773.7,2735.11,Entregado,9
236,2026-07-26,308,Santiago,Ciudad de México,23.5,3885.98,En tránsito,16
237,2025-08-27,302,Ciudad de México,Santiago,902.5,5730.17,En tránsito,17
238,2026-02-10,311,Monterrey,Guadalajara,18.8,4611.98,Devuelto,1
239,2026-07-18,322,Montevideo,Guadalajara,65.0,1264.74,Entregado,7
240,2025-01-08,308,Quito,Medellín,332.2,557.31,Retrasado,17
241,2025-08-06,329,Buenos Aires,Guadalajara,145.1,123.51,Retrasado,9
242,2026-02-02,318,Monterrey,Córdoba,152.3,1273.39,Retrasado,11
243,2026-02-07,307,Monterrey,Lima,113.6,1769.46,Entregado,15
244,2026-06-09,320,San José,Montevideo,731.6,1291.17,Entregado,2
245,2025-07-24,313,Bogotá,Santiago,721.9,4435.36,Retrasado,7
246,2026-01-05,329,Quito,Lima,440.9,3915.15,En tránsito,9
247,2025-11-14,307,Córdoba,Ciudad de México,12.2,4991.16,Retrasado,7
248,2025-12-02,316,Montevideo,Guadalajara,435.3,2393.27,En tránsito,16
249,2025-10-20,316,Córdoba,Quito,755.4,4028.78,En tránsito,3
250,2025-02-01,320,Bogotá,Ciudad de México,588.5,5154.42,Retrasado,1
251,2026-08-05,310,Medellín,Guadalajara,913.2,655.62,Retrasado,7
252,2026-01-17,321,Santiago,Guadalajara,72.8,2551.52,Entregado,10
253,2025-11-06,325,Ciudad de México,Bogotá,135.2,2785.01,En tránsito,4
254,2025-02-01,330,San José,Montevideo,836.3,5597.7,En tránsito,1
255,2026-04-12,304,Bogotá,Santiago,826.4,3512.28,Retrasado,9
256,2026-05-07,301,Montevideo,Quito,60.6,4175.46,En tránsito,3
257,2025-01-31,313,San José,Guadalajara,35.8,2640.33,Devuelto,14
258,2025-02-15,306,Ciudad de México,Quito,624.0,5759.82,Retrasado,10
259,2025-10-01,324,Medellín,Santiago,23.7,1690.02,En tránsito,8
260,2025-02-15,323,Medellín,Ciudad de México,829.9,5025.52,Devuelto,18
261,2025-02-18,323,Medellín,Santiago,272.5,603.42,Retrasado,15
262,2025-06-17,327,Medellín,Córdoba,354.9,5418.78,En tránsito,11
263,2026-02-21,324,San José,Monterrey,165.7,2458.53,Devuelto,12
264,2026-05-22,325,Lima,Buenos Aires,642.1,2494.33,Devuelto,3
265,2025-12-07,320,Lima,Buenos Aires,878.5,3901.15,Devuelto,18
266,2025-02-13,328,San José,Buenos Aires,326.6,5516.33,En tránsito,11
267,2026-08-11,318,San José,Buenos Aires,133.0,4912.25,En tránsito,13
268,2026-05-29,303,Guadalajara,Bogotá,517.0,3155.85,Entregado,9
269,2025-06-18,330,Córdoba,San José,702.9,4129.34,Retrasado,16
270,2026-07-16,304,Monterrey,Montevideo,890.1,3176.88,Devuelto,8
271,2025-04-19,319,Monterrey,Guadalajara,214.9,3891.9,En tránsito,7
272,2025-04-21,323,Ciudad de México,Córdoba,470.7,5501.79,Retrasado,8
273,2025-08-03,325,Guadalajara,Lima,515.1,651.8,En tránsito,1
274,2025-05-04,301,Ciudad de México,Lima,197.1,4979.73,Entregado,3
275,2026-03-09,309,Medellín,Bogotá,897.7,3996.58,Entregado,10
276,2025-08-02,311,Guadalajara,Monterrey,288.9,3746.01,Devuelto,2
277,2026-05-27,322,Medellín,Ciudad de México,304.0,263.76,Devuelto,13
278,2026-03-09,325,Córdoba,Bogotá,654.3,3751.77,Retrasado,16
279,2026-05-15,301,Guadalajara,Ciudad de México,721.2,594.03,Retrasado,18
280,2025-04-07,303,Bogotá,Santiago,432.2,4514.39,En tránsito,16
281,2026-07-20,302,Monterrey,Lima,738.4,5139.48,En tránsito,14
282,2025-05-12,304,Ciudad de México,San José,564.0,4077.44,Entregado,17
283,2025-07-05,315,Bogotá,Córdoba,440.3,4207.02,Devuelto,18
284,2025-09-17,321,Montevideo,Ciudad de México,556.6,4213.44,Devuelto,6
285,2025-06-16,329,Medellín,Lima,38.3,3638.63,Devuelto,4
286,2025-07-23,322,Buenos Aires,Bogotá,458.3,1554.33,Devuelto,6
287,2025-11-06,325,Guadalajara,Ciudad de México,174.0,2093.22,Devuelto,8
288,2025-04-14,323,Medellín,Bogotá,156.6,861.43,Entregado,15
289,2025-01-22,316,Monterrey,Guadalajara,673.1,5394.32,Retrasado,18
290,2025-02-04,304,Guadalajara,Medellín,265.3,3379.11,Devuelto,3
291,2026-01-02,303,Bogotá,Lima,451.2,3082.11,En tránsito,5
292,2025-03-30,304,Ciudad de México,Buenos Aires,542.1,4014.67,Devuelto,18
293,2026-05-05,312,Córdoba,Lima,63.9,4756.79,En tránsito,14
294,2025-08-26,304,Córdoba,Ciudad de México,192.7,1858.03,Devuelto,1
295,2025-01-13,312,Ciudad de México,Córdoba,107.6,4022.19,Entregado,10
296,2025-09-07,329,Buenos Aires,Monterrey,817.6,4823.25,En tránsito,16
297,2025-04-12,316,Medellín,Santiago,164.2,3353.95,Entregado,5
298,2025-05-29,322,Buenos Aires,Córdoba,818.2,482.52,Entregado,6
299,2026-01-06,308,San José,Guadalajara,890.8,4981.62,Devuelto,2
300,2025-11-25,325,Guadalajara,Ciudad de México,741.7,243.78,Retrasado,13
301,2025-05-11,315,Quito,Santiago,455.7,5700.38,Devuelto,6
302,2025-10-22,308,Quito,Córdoba,472.5,524.33,Entregado,14
303,2025-05-30,303,Córdoba,Bogotá,734.4,316.5,Retrasado,13
304,2025-12-16,309,Medellín,San José,288.7,3248.92,Retrasado,10
305,2026-05-15,328,Medellín,Córdoba,367.1,5237.26,En tránsito,16
306,2025-12-17,311,Bogotá,Medellín,506.3,3728.89,Entregado,9
307,2025-10-23,321,Lima,Montevideo,564.9,1428.83,Retrasado,8
308,2025-11-10,319,Santiago,Monterrey,182.7,2063.19,Devuelto,9
309,2025-07-12,309,Quito,Guadalajara,730.0,5352.06,En tránsito,10
310,2026-01-06,307,San José,Montevideo,677.1,3353.19,En tránsito,15
311,2025-05-01,319,Córdoba,Buenos Aires,688.5,5266.78,En tránsito,7
312,2025-07-07,320,San José,Monterrey,843.0,4872.7,Retrasado,8
313,2026-08-05,313,Medellín,Lima,436.4,2101.08,Retrasado,3
314,2026-07-18,309,Bogotá,Guadalajara,934.7,99.34,En tránsito,9
315,2026-07-18,330,Medellín,Montevideo,554.6,1720.38,Devuelto,7
316,2026-05-17,309,Ciudad de México,Guadalajara,565.7,2900.1,Devuelto,11
317,2025-05-06,304,Buenos Aires,Montevideo,343.6,4823.69,Entregado,2
318,2025-04-21,328,Bogotá,Lima,521.3,1669.01,Entregado,14
319,2026-08-04,307,Ciudad de México,San José,57.4,739.68,Retrasado,10
320,2025-08-14,314,Santiago,Montevideo,587.6,3458.05,Retrasado,18
321,2025-01-24,312,Santiago,Buenos Aires,526.2,1954.97,En tránsito,6
322,2026-07-09,326,Guadalajara,Santiago,585.7,5730.48,Entregado,9
323,2025-04-08,326,Medellín,Bogotá,234.3,2485.9,En tránsito,15
324,2025-08-14,320,Buenos Aires,Montevideo,265.9,98.76,Retrasado,14
325,2026-04-02,319,Quito,Guadalajara,203.1,674.17,Entregado,14
326,2025-06-03,323,Medellín,Montevideo,702.3,2356.1,Devuelto,1
327,2026-05-19,318,Lima,Santiago,415.1,5260.87,Retrasado,11
328,2026-02-02,301,Medellín,Córdoba,796.4,3670.8,Retrasado,5
329,2026-01-22,323,Bogotá,Quito,160.4,2471.72,En tránsito,11
330,2025-09-12,312,Guadalajara,Lima,679.3,5398.84,Devuelto,16
331,2025-09-07,301,San José,Quito,613.4,462.99,Entregado,13
332,2026-01-26,319,Monterrey,Montevideo,20.0,2662.85,Devuelto,14
333,2025-12-23,303,Guadalajara,Lima,217.5,2250.24,Retrasado,16
334,2026-08-23,306,Buenos Aires,Santiago,612.9,3626.7,En tránsito,2
335,2025-08-23,313,Monterrey,Ciudad de México,85.9,5501.83,Entregado,18
336,2026-06-22,302,Lima,Bogotá,885.4,2762.36,Retrasado,5
337,2025-07-10,328,Guadalajara,Lima,218.0,1924.66,Entregado,8
338,2025-02-23,328,Bogotá,Quito,544.2,4715.96,En tránsito,10
339,2025-06-21,318,Medellín,Guadalajara,224.8,4861.75,En tránsito,3
340,2025-07-03,303,Bogotá,Lima,507.5,4692.03,Retrasado,6
341,2025-09-09,305,Córdoba,Buenos Aires,747.7,2006.83,En tránsito,9
342,2026-06-01,317,Ciudad de México,Córdoba,850.1,2411.33,En tránsito,2
343,2025-09-05,316,Buenos Aires,Montevideo,818.7,5018.94,Retrasado,15
344,2025-04-23,308,Medellín,Buenos Aires,677.9,1039.55,Entregado,3
345,2025-10-22,313,Buenos Aires,Ciudad de México,438.0,4809.12,Devuelto,18
346,2026-06-22,318,Montevideo,Guadalajara,443.6,3912.33,Retrasado,13
347,2026-02-22,325,Lima,Córdoba,159.0,5158.93,En tránsito,2
348,2026-01-12,307,Bogotá,Quito,799.9,763.97,Devuelto,13
349,2025-01-25,313,Lima,Monterrey,299.2,1256.32,Entregado,7
350,2026-04-06,314,San José,Buenos Aires,822.0,4759.9,En tránsito,10
351,2025-01-17,313,Santiago,Buenos Aires,855.5,5429.69,Retrasado,16
352,2026-01-16,313,Medellín,Montevideo,838.3,2822.73,Devuelto,2
353,2025-04-14,308,Buenos Aires,San José,281.0,394.47,Devuelto,13
354,2025-03-21,329,San José,Guadalajara,568.5,2180.26,Devuelto,2
355,2025-12-27,330,Medellín,Bogotá,315.2,1917.22,En tránsito,1
356,2025-10-04,304,Buenos Aires,Córdoba,57.4,3096.28,Retrasado,1
