registro_id,fecha,suscriptor_id,tipo_servicio,unidades,cargo
89,2025-02-16,5050,Voz,322,126.86
90,2026-01-13,5033,SMS,35,30.72
91,2025-12-04,5035,Voz,80,150.18
92,2025-08-05,5003,SMS,193,207.03
93,2025-03-03,5058,SMS,95,167.27
94,2026-03-22,5001,Voz,19,341.75
95,2025-05-20,5086,Voz,73,255.27
96,2026-08-09,5012,Voz,315,85.66
97,2026-08-04,5056,SMS,273,226.72
98,2025-08-09,5052,Voz,580,26.43
99,2025-07-09,5055,Datos,7581,46.58
100,2026-08-14,5084,Datos,15086,337.36
101,2025-12-27,5069,SMS,216,83.41
102,2025-04-29,5082,Voz,586,211.11
103,2025-02-01,5081,Datos,10118,333.86
104,2025-08-27,5087,SMS,94,44.08
105,2025-12-27,5006,Voz,124,294.84
106,2026-07-31,5045,Datos,8923,224.21
107,2025-05-24,5037,Datos,1637,147.59
108,2026-07-12,5072,Datos,10033,233.05
109,2026-04-04,5056,Datos,9757,207.78
110,2025-12-22,5040,Voz,430,149.61
111,2026-02-21,5005,Datos,1083,85.87
112,2025-02-08,5041,SMS,102,206.31
113,2026-04-21,5050,Datos,13980,154.76
114,2026-08-06,5015,SMS,71,243.73
115,2026-04-23,5029,Datos,1624,251.8
116,2026-06-26,5023,Datos,3609,56.81
117,2025-08-29,5053,SMS,154,345.61
118,2026-08-07,5041,SMS,287,267.33
119,2026-03-22,5079,Datos,9231,87.18
120,2025-09-21,5043,Datos,7256,275.05
121,2025-09-08,5040,SMS,292,263.67
122,2026-04-07,5032,SMS,297,100.14
123,2026-06-23,5074,Datos,8645,265.8
124,2025-08-18,5085,SMS,75,17.19
125,2025-08-12,5043,SMS,245,345.92
126,2025-04-13,5086,SMS,139,87.59
127,2025-03-04,5014,Voz,585,242.1
128,2025-11-05,5015,Datos,15694,314.78
129,2026-01-15,5067,Datos,9407,118.17
130,2025-01-11,5075,Voz,129,15.5
131,2025-03-07,5036,SMS,196,52.36
132,2025-05-25,5079,Voz,581,314.08
133,2026-04-18,5046,Voz,140,116.99
134,2025-07-14,5051,Datos,19494,116.1
135,2026-03-17,5044,SMS,285,339.81
136,2026-01-05,5011,SMS,134,193.62
137,2025-08-15,5025,Datos,12995,30.08
138,2025-07-29,5029,SMS,25,104.17
139,2025-02-04,5024,Voz,418,300.36
140,2025-09-29,5025,Datos,9593,142.6
141,2026-04-07,5084,Voz,20,250.11
142,2025-02-03,5054,SMS,15,193.48
143,2026-01-26,5084,Datos,18648,263.77
144,2025-10-20,5007,Voz,92,23.01
145,2025-11-23,5034,Voz,39,20.93
146,2025-06-15,5030,SMS,84,285.37
147,2025-07-05,5079,Datos,12808,157.24
148,2025-05-17,5044,SMS,103,182.35
149,2025-01-17,5020,SMS,70,47.49
150,2025-01-11,5052,SMS,105,80.79
151,2026-03-28,5029,Voz,260,24.17
152,2025-01-11,5089,Voz,439,153.42
153,2025-11-19,5055,Voz,490,87.57
154,2025-02-27,5008,Voz,285,27.85
155,2026-05-15,5023,Voz,596,60.13
156,2025-05-11,5004,Voz,278,189.29
157,2026-04-11,5059,Voz,596,251.34
158,2026-01-18,5021,SMS,27,20.94
159,2026-05-03,5053,Datos,15158,224.95
160,2025-04-19,5089,Datos,8535,217.99
161,2026-01-04,5077,Voz,271,224.12
162,2025-06-01,5030,SMS,241,119.15
163,2026-08-22,5009,Voz,160,273.79
164,2025-09-18,5044,Datos,17491,320.24
165,2026-04-08,5019,Voz,498,200.9
166,2025-03-30,5010,Voz,103,342.77
167,2025-08-30,5016,SMS,22,244.06
168,2026-04-11,5089,SMS,38,299.34
169,2025-12-27,5063,Datos,7391,36.7
170,2025-11-22,5080,SMS,92,257.46
171,2025-05-26,5015,Datos,5658,316.91
172,2026-07-25,5050,SMS,113,159.31
173,2025-05-28,5021,Voz,370,39.99
174,2025-07-16,5023,Datos,8542,318.12
175,2025-10-24,5001,SMS,104,103.4
176,2026-05-27,5057,Voz,313,178.25
177,2025-01-22,5075,Datos,8879,281.65
178,2025-03-15,5002,Datos,16630,214.42
179,2025-07-06,5041,Voz,459,139.34
180,2026-03-01,5082,SMS,163,81.99
181,2025-06-24,5024,Datos,15538,56.43
182,2025-03-24,5046,SMS,215,310.09
183,2025-01-29,5045,SMS,69,229.11
184,2025-04-30,5074,SMS,147,25.43
185,2025-11-20,5053,Voz,44,265.23
186,2025-09-08,5090,SMS,224,162.41
187,2025-07-04,5020,SMS,152,15.44
188,2025-01-28,5049,Voz,344,226.38
189,2025-04-20,5071,Datos,6375,78.45
190,2026-07-02,5069,Voz,45,298.16
191,2025-07-01,5029,SMS,43,297.75
192,2026-06-08,5013,Voz,79,232.13
193,2026-03-22,5015,SMS,79,190.43
194,2025-04-17,5069,Datos,9764,267.37
195,2026-07-05,5015,SMS,285,20.94
196,2026-02-02,5040,Datos,32,62.59
197,2025-09-08,5065,Datos,17185,291.25
198,2026-02-13,5067,Datos,13164,262.25
199,2025-10-31,5016,SMS,112,230.65
200,2025-07-03,5015,SMS,75,26.75
201,2025-10-19,5024,Voz,313,57.5
202,2026-05-13,5033,SMS,145,328.21
203,2026-04-03,5073,SMS,242,54.12
204,2025-04-09,5053,SMS,270,228.26
205,2025-01-21,5066,SMS,282,20.43
206,2025-01-03,5056,Datos,687,22.3
207,2025-07-18,5045,Voz,166,190.62
208,2025-12-01,5025,Voz,4,283.46
209,2025-01-02,5035,Voz,543,327.39
210,2026-08-02,5071,SMS,88,268.67
211,2026-03-19,5008,Voz,462,57.82
212,2026-07-24,5059,Datos,7443,347.53
213,2026-05-11,5027,SMS,110,142.92
214,2026-02-17,5011,SMS,278,62.37
215,2025-11-09,5059,Voz,254,337.81
216,2026-06-02,5014,Voz,77,276.99
217,2026-06-05,5026,Voz,157,256.02
218,2026-06-26,5029,Datos,15109,167.17
219,2026-01-30,5090,Voz,416,33.69
220,2025-01-07,5006,Datos,19072,222.36
221,2025-03-18,5069,SMS,127,217.6
222,2026-04-17,5060,SMS,60,321.42
223,2026-08-17,5089,Voz,361,298.7
224,2026-05-25,5083,Voz,555,62.78
225,2026-01-13,5087,Voz,155,243.73
226,2026-08-12,5052,SMS,182,290.39
227,2026-06-04,5018,Datos,6690,207.82
228,2026-03-22,5021,Datos,7325,220.08
229,2025-01-24,5002,Datos,4473,156.05
230,2025-11-08,5081,Datos,13501,22.49
231,2026-07-30,5057,SMS,12,1.84
232,2026-07-27,5077,Datos,16320,123.5
233,2025-03-19,5080,SMS,142,333.79
234,2026-02-25,5025,SMS,58,161.98
235,2026-02-13,5037,Datos,11252,256.71
236,2026-08-22,5069,SMS,150,187.03
237,2026-06-12,5034,Datos,324,282.27
238,2025-06-17,5002,Datos,3876,139.77
239,2026-07-21,5059,Voz,407,210.84
240,2026-07-02,5008,Voz,558,291.83
241,2026-07-24,5046,SMS,1,307.1
242,2026-05-10,5074,SMS,169,107.14
243,2025-09-26,5070,SMS,243,291.78
244,2025-01-15,5014,SMS,122,52.71
245,2025-08-06,5058,Datos,1549,16.55
246,2025-12-31,5045,SMS,53,225.94
247,2026-07-26,5003,Datos,9594,91.74
248,2026-03-19,5073,Voz,449,157.36
249,2026-06-28,5007,SMS,61,165.5
250,2025-07-28,5054,SMS,58,149.99
251,2025-10-30,5089,Voz,49,106.4
252,2025-10-08,5033,Voz,45,233.01
253,2025-11-05,5055,SMS,85,329.03
254,2025-12-19,5049,Voz,130,214.14
255,2025-07-02,5056,Datos,10336,64.89
256,2025-08-09,5024,Voz,9,326.19
257,2025-09-22,5083,SMS,16,174.87
258,2025-11-30,5062,Datos,17734,130.64
259,2025-04-09,5029,SMS,88,296.91
260,2026-05-16,5030,SMS,4,290.74
261,2025-04-15,5018,Datos,11394,58.6
262,2025-05-11,5077,Voz,4,230.62
263,2026-04-20,5012,Voz,484,173.38
264,2025-12-21,5055,Datos,17878,194.71
265,2025-07-05,5087,Datos,10641,204.77
266,2025-04-14,5040,Voz,355,142.43
267,2026-04-05,5065,Datos,12067,23.76
268,2025-11-12,5044,Voz,542,209.95
269,2026-04-28,5034,Datos,10069,81.0
270,2025-11-01,5047,SMS,73,153.71
271,2025-05-02,5068,SMS,237,125.06
272,2025-09-24,5039,SMS,103,101.64
273,2026-05-16,5078,Voz,38,178.94
274,2025-08-11,5004,Voz,200,147.74
275,2025-07-06,5009,SMS,267,149.78
276,2025-06-29,5005,SMS,274,284.32
277,2026-07-11,5072,Voz,362,166.59
278,2025-11-20,5002,Datos,14248,239.65
279,2026-02-23,5041,Voz,126,114.69
280,2026-06-09,5085,Voz,336,17.98
281,2026-05-05,5066,SMS,218,66.2
282,2026-03-30,5036,Datos,2872,259.94
283,2025-11-14,5021,SMS,34,78.96
284,2026-03-17,5051,Voz,590,92.07
285,2025-02-07,5044,Voz,589,39.7
286,2025-08-22,5069,SMS,246,202.32
287,2025-03-29,5069,Voz,349,189.34
288,2025-06-24,5053,SMS,148,227.87
289,2026-04-14,5050,Datos,16932,204.2
290,2025-12-03,5057,Voz,575,222.47
291,2025-04-24,5074,Datos,4143,294.98
292,2026-08-21,5007,Voz,147,162.23
293,2026-06-26,5069,SMS,154,189.39
294,2025-01-15,5082,SMS,237,324.22
295,2025-04-12,5075,SMS,169,276.57
296,2026-02-05,5027,Datos,5239,343.72
297,2025-08-03,5014,Voz,187,185.09
298,2026-08-15,5044,Datos,3739,86.39
299,2026-08-14,5063,SMS,173,4.47
300,2026-04-01,5003,SMS,54,164.07
301,2026-03-12,5007,Datos,4844,323.65
302,2025-11-17,5075,Voz,227,260.71
303,2025-07-19,5069,Voz,476,44.72
304,2025-09-04,5051,Voz,125,275.65
305,2026-08-11,5011,Voz,255,344.67
306,2025-09-07,5040,Voz,323,253.37
307,2026-07-02,5006,SMS,168,279.26
308,2025-12-02,5065,SMS,146,21.82
309,2026-02-15,5018,Datos,15108,24.85
310,2026-01-24,5044,SMS,106,265.26
311,2026-06-06,5018,Datos,7112,252.36
312,2025-09-05,5052,SMS,181,279.57
313,2025-11-26,5008,SMS,279,341.41
314,2025-09-10,5056,Voz,376,30.54
315,2026-05-15,5043,Datos,7845,199.05
316,2025-10-25,5046,Datos,3319,86.51
317,2025-09-03,5087,SMS,261,165.3
318,2026-03-08,5024,Datos,5191,348.87
319,2025-09-13,5084,Datos,154,103.6
320,2025-03-12,5067,Voz,387,286.04
321,2026-04-18,5088,Datos,1146,335.64
322,2025-11-03,5042,SMS,275,143.65
323,2025-07-13,5034,Voz,383,234.41
324,2025-01-09,5070,Voz,139,92.79
325,2026-06-06,5063,Datos,13836,305.39
326,2025-04-29,5034,SMS,233,185.34
327,2026-08-13,5075,Voz,325,144.41
328,2025-01-04,5006,Datos,13178,199.6
329,2026-04-11,5023,SMS,261,267.96
330,2026-07-05,5041,Datos,7771,262.14
331,2025-09-30,5059,Voz,503,310.95
332,2025-05-03,5003,SMS,287,276.2
333,2025-08-02,5050,Datos,6656,206.93
334,2026-07-16,5067,Voz,520,164.73
335,2025-08-28,5084,SMS,114,75.45
336,2025-04-07,5037,Datos,457,81.78
337,2025-07-17,5002,SMS,179,179.67
338,2025-05-11,5082,Datos,6105,138.87
339,2025-03-11,5045,Datos,1295,229.5
340,2026-04-07,5022,Voz,88,161.91
341,2025-02-27,5001,Datos,2173,247.69
342,2025-08-09,5064,SMS,290,56.27
343,2026-05-10,5048,Voz,565,250.25
344,2026-07-12,5040,Voz,148,333.27
345,2026-02-04,5004,SMS,78,344.05
346,2026-01-18,5074,Datos,6008,27.81
347,2025-01-15,5064,Datos,6080,93.12
348,2025-04-13,5089,SMS,215,38.2
349,2026-01-27,5080,Voz,37,184.28
350,2026-05-02,5013,SMS,26,4.69
351,2025-06-05,5070,Datos,5566,272.77
352,2026-03-01,5005,SMS,201,252.64
353,2026-07-11,5009,SMS,210,204.4
354,2025-01-31,5002,Datos,15591,21.45
355,2025-01-13,5064,Voz,140,9.59
356,2025-02-05,5060,Voz,473,229.19
357,2026-07-08,5022,Voz,96,284.64
358,2026-02-04,5073,Voz,522,173.72
359,2025-10-14,5024,Voz,26,260.35
360,2026-07-15,5015,Datos,18661,282.81
361,2025-11-10,5009,Datos,14903,86.09
362,2025-05-15,5007,Voz,231,64.69
363,2025-12-17,5019,Voz,407,63.79
364,2026-08-21,5076,Datos,4651,95.42
365,2025-08-02,5058,Datos,12316,236.2
366,2025-08-19,5054,SMS,49,323.07
367,2026-07-25,5061,Datos,15258,8.93
368,2026-08-22,5087,Voz,277,189.25
369,2025-04-19,5015,Datos,4307,201.45
370,2025-06-24,5015,Datos,19053,282.0
371,2026-02-28,5070,Datos,19879,89.73
372,2025-08-08,5072,Datos,13806,162.53
373,2025-11-16,5008,Voz,513,159.94
374,2025-04-01,5004,SMS,286,341.86
375,2026-08-04,5015,SMS,150,46.16
376,2026-08-08,5056,Datos,1650,258.07
377,2025-07-22,5068,Voz,403,275.01
378,2026-03-24,5030,Datos,8816,95.01
379,2026-08-11,5006,SMS,115,337.93
380,2025-06-01,5053,Datos,14146,250.19
381,2026-05-19,5002,Voz,68,240.37
382,2025-08-02,5019,Voz,368,266.6
383,2026-06-16,5001,Voz,22,132.23
384,2025-04-24,5038,SMS,123,214.46
385,2025-04-03,5001,SMS,291,42.9
386,2025-04-05,5016,Datos,759,134.88
387,2025-07-26,5081,Voz,241,326.87
388,2025-02-15,5075,SMS,236,136.18
389,2025-03-26,5070,SMS,279,330.01
390,2025-09-08,5071,Datos,8455,14.7
391,2025-09-13,5003,SMS,113,152.38
392,2025-04-09,5013,SMS,43,183.43
393,2026-01-14,5011,Datos,19797,243.16
394,2025-06-03,5043,SMS,159,340.49
395,2026-01-07,5025,SMS,36,71.61
396,2026-04-03,5031,Datos,13472,112.92
397,2025-10-07,5074,SMS,298,302.2
398,2025-03-01,5056,Datos,1759,192.91
399,2025-04-04,5035,SMS,277,241.21
400,2025-10-23,5020,Voz,228,338.87
401,2025-12-21,5020,Datos,1104,175.53
402,2026-04-24,5009,Datos,10642,79.98
403,2025-06-13,5046,SMS,160,332.89
404,2025-10-29,5029,Datos,571,30.97
405,2025-12-06,5080,Voz,574,37.96
406,2025-12-02,5015,SMS,91,121.41
407,2025-03-04,5003,Datos,3750,162.89
408,2026-02-23,5023,Voz,57,8.72
409,2025-05-27,5011,Voz,576,160.67
410,2026-08-05,5004,Voz,180,257.39
411,2025-05-09,5081,Datos,11497,10.76
412,2026-03-16,5034,SMS,255,152.61
413,2025-02-17,5042,Voz,265,339.74
414,2026-03-06,5040,SMS,226,345.66
415,2025-04-01,5082,Datos,825,116.85
416,2026-05-19,5001,Datos,6717,295.95
417,2025-03-27,5034,Voz,359,172.16
418,2025-04-14,5053,SMS,163,262.43
419,2025-01-04,5017,Datos,12919,178.53
420,2025-06-06,5054,SMS,205,299.65
421,2026-03-29,5036,Voz,453,178.97
422,2025-03-24,5035,SMS,240,232.01
423,2025-02-07,5075,Voz,213,144.77
424,2026-05-10,5014,SMS,290,347.7
425,2025-08-03,5019,Voz,241,108.01
426,2025-06-06,5040,SMS,281,331.64
427,2025-12-31,5020,Voz,345,57.69
428,2025-10-11,5033,SMS,205,280.46
429,2025-07-20,5083,Voz,127,191.57
430,2025-01-03,5011,SMS,128,300.08
431,2026-08-24,5055,Voz,315,276.24
432,2026-06-14,5065,SMS,271,97.39
433,2025-09-23,5054,SMS,208,303.23
434,2025-07-06,5003,Datos,3302,32.34
435,2025-07-10,5048,Datos,9142,86.87
436,2026-06-25,5004,Voz,412,148.65
437,2026-01-30,5031,Datos,3293,18.98
438,2025-04-18,5008,Voz,168,208.34
439,2025-10-10,5071,SMS,46,11.84
440,2025-09-04,5002,Voz,305,37.87
441,2026-07-23,5089,Datos,19324,145.52
442,2025-02-22,5014,SMS,182,252.75
443,2026-06-21,5034,Voz,596,115.37
444,2026-03-25,5047,Voz,124,119.58
445,2026-04-29,5044,SMS,12,322.96
446,2026-04-28,5072,SMS,2,48.59
447,2025-04-25,5060,SMS,240,330.95
448,2025-04-24,5014,Datos,18106,272.83
449,2025-09-15,5061,Voz,133,168.65
450,2025-08-21,5016,SMS,174,14.59
451,2025-10-21,5054,SMS,94,191.69
452,2026-04-22,5087,SMS,181,303.56
453,2025-10-28,5065,Voz,16,68.36
454,2025-05-05,5018,Voz,405,137.05
455,2026-04-12,5005,Datos,18072,91.22
456,2026-01-01,5086,Datos,12745,23.67
457,2026-01-09,5080,SMS,296,244.1
458,2026-02-21,5019,Voz,330,313.18
459,2025-01-10,5019,Datos,145,76.55
460,2025-10-16,5047,Voz,536,297.06
461,2026-08-15,5090,SMS,114,48.37
462,2025-01-25,5070,Datos,2162,4.07
463,2025-01-16,5014,SMS,39,111.08
464,2025-03-14,5030,Voz,151,132.28
465,2026-02-18,5047,SMS,149,249.66
466,2026-07-18,5032,Voz,338,32.2
467,2026-05-26,5001,Datos,3883,147.5
468,2025-05-06,5020,Datos,19177,112.36
469,2025-05-21,5032,SMS,57,191.33
470,2025-05-18,5010,Datos,10798,82.36
471,2025-12-16,5048,SMS,51,127.12
472,2025-06-14,5020,Datos,19614,79.87
473,2026-03-22,5050,Voz,158,265.55
474,2025-05-25,5048,Datos,15158,13.32
475,2025-07-28,5009,Datos,896,21.87
476,2025-09-27,5065,Datos,11851,264.27
477,2025-08-10,5062,SMS,32,34.65
478,2025-07-10,5041,Datos,17370,311.09
479,2026-04-16,5038,Voz,309,235.27
480,2025-12-07,5050,Voz,166,91.22
481,2026-04-07,5051,SMS,76,65.48
482,2026-03-15,5067,Datos,14703,88.11
483,2026-05-05,5002,Datos,6779,330.99
484,2026-05-03,5027,Datos,17973,146.44
485,2026-03-18,5018,Datos,7140,252.85
486,2025-09-27,5061,SMS,16,181.2
487,2025-12-09,5067,Datos,5780,273.17
488,2026-06-22,5031,Datos,11366,330.28
489,2026-03-05,5078,Voz,486,259.9
490,2025-01-10,5042,SMS,132,110.34
491,2025-03-01,5088,SMS,231,257.99
492,2025-12-19,5065,SMS,174,89.51
493,2025-09-23,5056,Voz,29,51.93
494,2026-04-12,5024,Datos,13188,255.16
495,2026-05-09,5024,Voz,181,36.6
496,2025-05-04,5010,Datos,16060,339.06
497,2025-06-11,5014,Datos,1875,216.07
498,2026-07-20,5070,Datos,9469,141.75
499,2025-04-17,5071,Voz,34,292.52
500,2025-07-11,5075,Voz,213,10.84
501,2025-01-15,5024,SMS,282,33.93
502,2025-03-21,5035,Voz,408,21.66
503,2025-01-20,5070,Voz,74,322.6
504,2025-12-17,5011,Datos,14604,240.0
505,2025-07-09,5005,Datos,6498,144.94
506,2026-08-15,5059,Voz,260,78.74
507,2026-03-31,5015,Datos,18455,151.91
508,2026-07-31,5031,SMS,114,11.86
509,2025-12-25,5051,Datos,1995,215.72
510,2025-08-19,5079,SMS,113,44.96
511,2025-03-31,5090,Voz,506,56.44
512,2025-02-18,5074,Voz,397,104.81
513,2026-03-06,5073,Datos,4111,158.67
514,2026-07-21,5083,Datos,14865,225.76
515,2025-01-24,5046,Voz,501,158.7
516,2025-01-03,5001,SMS,155,146.83
517,2025-02-15,5064,Datos,712,191.2
518,2025-02-17,5086,SMS,88,58.48
519,2025-10-14,5010,Datos,7806,91.04
520,2025-06-10,5074,Voz,599,122.3
521,2025-06-21,5025,Voz,212,86.02
522,2025-12-19,5009,Voz,158,298.8
523,2025-12-03,5008,Voz,232,278.78
524,2026-06-01,5088,Voz,232,284.7
525,2025-07-17,5072,Datos,6346,306.36
526,2025-05-16,5038,Voz,404,3.03
527,2025-08-25,5069,Voz,356,43.3
528,2025-02-28,5035,Datos,5299,155.79
529,2025-02-27,5043,SMS,69,41.71
530,2026-05-08,5032,Datos,6491,161.2
531,2025-01-16,5076,Datos,5245,134.68
532,2026-04-04,5077,Datos,18559,119.99
533,2026-04-03,5013,SMS,203,27.07
534,2026-02-15,5030,Voz,494,45.27
535,2026-06-05,5055,Datos,10437,220.53
536,2025-01-27,5052,Datos,3372,311.68
537,2025-01-05,5055,Voz,460,200.09
538,2025-05-21,5021,SMS,162,95.03
539,2025-08-24,5025,Voz,109,301.09
540,2025-08-03,5046,Voz,326,252.07
541,2025-09-01,5018,Voz,596,233.33
542,2025-05-24,5007,SMS,237,91.69
543,2025-06-07,5078,Voz,384,339.78
544,2026-07-07,5065,SMS,165,277.03
545,2026-05-10,5076,Voz,8,172.68
546,2025-08-02,5056,Datos,18828,308.28
547,2025-04-08,5022,SMS,182,125.61
548,2026-07-10,5080,Voz,170,233.1
549,2026-05-31,5056,Datos,17032,275.07
550,2026-07-09,5046,SMS,99,60.54
551,2026-02-19,5042,SMS,70,276.09
552,2026-05-09,5003,SMS,204,44.3
553,2025-11-23,5075,Voz,372,258.12
554,2025-06-12,5011,SMS,285,60.83
555,2025-12-28,5045,Voz,109,255.4
556,2026-04-03,5085,SMS,154,60.65
557,2025-04-03,5053,Voz,258,297.95
558,2025-10-22,5022,Voz,252,199.62
559,2026-02-08,5023,SMS,214,60.0
560,2026-02-13,5089,Datos,4404,0.59
561,2025-07-18,5044,Voz,595,65.2
562,2025-03-18,5062,Datos,615,17.94
563,2025-07-25,5011,SMS,190,188.79
564,2025-04-06,5023,Voz,165,30.85
565,2026-03-06,5076,Voz,392,337.8
566,2025-11-25,5068,Voz,473,140.29
567,2026-03-23,5052,Voz,429,304.67
568,2025-01-11,5051,Datos,17227,5.65
569,2025-10-05,5042,Voz,475,148.57
570,2025-07-30,5057,Datos,7306,344.07
571,2025-10-17,5026,Datos,408,249.54
572,2026-02-03,5056,Datos,6556,122.46
573,2026-04-21,5037,Voz,202,164.72
574,2025-02-02,5050,SMS,216,147.99
575,2025-07-04,5089,Voz,258,218.47
576,2025-12-02,5006,Datos,2277,300.49
577,2025-03-30,5013,SMS,11,292.64
578,2025-11-03,5064,SMS,89,244.22
579,2026-04-01,5006,Voz,294,108.02
580,2025-10-03,5035,Voz,509,121.2
581,2025-09-19,5043,Voz,514,157.3
582,2026-01-14,5002,Voz,368,261.0
583,2025-02-12,5049,Voz,429,98.67
584,2025-09-30,5060,Voz,203,22.6
585,2025-12-12,5002,Voz,348,219.22
586,2026-02-05,5041,Datos,5715,254.28
587,2025-08-14,5031,Datos,1066,167.2
588,2026-05-16,5010,Datos,1636,296.33
589,2026-04-12,5082,Datos,9621,177.06
590,2025-02-22,5067,Datos,6956,138.96
591,2026-03-02,5049,Voz,556,90.11
592,2026-02-18,5054,Datos,12705,193.93
593,2026-01-17,5009,Datos,2856,285.86
594,2026-04-09,5078,SMS,77,166.64
595,2026-06-14,5090,Voz,591,108.17
596,2025-01-21,5006,SMS,198,101.87
597,2025-12-12,5031,Datos,14038,314.85
598,2026-03-12,5030,SMS,137,207.45
599,2026-03-27,5032,Voz,28,233.22
600,2025-05-19,5003,Datos,3941,64.47
601,2025-10-15,5024,Datos,15578,271.75
602,2026-06-04,5079,Voz,525,151.1
603,2026-02-01,5028,SMS,24,165.02
604,2025-06-23,5027,SMS,156,243.88
605,2025-01-25,5089,SMS,205,259.79
606,2026-08-08,5041,SMS,155,48.75
607,2026-07-29,5016,SMS,135,148.19
608,2025-01-31,5090,Voz,559,142.79
609,2025-06-16,5027,Voz,63,202.47
610,2026-08-19,5087,Voz,486,62.47
611,2025-06-13,5066,SMS,275,171.94
612,2025-08-27,5072,Voz,429,162.55
613,2025-11-12,5059,SMS,217,213.96
614,2025-07-31,5022,Datos,5169,251.43
615,2025-12-01,5076,SMS,122,106.22
616,2026-01-03,5082,SMS,145,271.39
617,2025-07-03,5079,Datos,878,22.7
618,2026-01-12,5044,SMS,2,90.83
619,2026-07-29,5078,SMS,119,319.41
620,2025-03-19,5036,SMS,76,163.33
621,2025-01-06,5069,Voz,425,135.53
622,2025-12-18,5049,SMS,59,309.12
623,2025-09-16,5068,SMS,195,308.93
624,2025-12-03,5075,SMS,48,1.01
625,2025-06-09,5058,Voz,118,144.59
