inscripcion_id,fecha_inscripcion,estudiante_id,curso,nota_final,horas_completadas,estado
210,2025-01-14,7080,Finanzas personales,,1,Abandonado
211,2025-10-19,7047,Finanzas personales,,42,Abandonado
212,2025-02-21,7032,SQL para datos,,21,En curso
213,2026-08-24,7064,SQL para datos,,5,Abandonado
214,2025-04-09,7043,Python básico,8.2,4,Completado
215,2025-06-05,7051,Marketing digital,,0,Abandonado
216,2025-02-03,7004,Machine Learning,,25,Abandonado
217,2026-08-09,7045,Visualización,,42,Abandonado
218,2025-12-11,7034,Finanzas personales,,55,En curso
219,2025-10-23,7072,Visualización,4.5,22,Completado
220,2025-04-21,7063,Cloud Computing,7.2,36,Completado
221,2026-08-07,7052,SQL para datos,,52,En curso
222,2025-09-06,7033,Marketing digital,,40,En curso
223,2025-09-03,7050,Machine Learning,,1,En curso
224,2026-05-22,7027,Machine Learning,9.6,52,Completado
225,2026-03-10,7085,Gestión de proyectos,,9,En curso
226,2026-07-06,7067,Gestión de proyectos,5.2,16,Completado
227,2026-05-26,7076,Machine Learning,9.9,18,Completado
228,2025-05-25,7001,Python básico,8.7,34,Completado
229,2025-02-20,7051,SQL para datos,,19,Abandonado
230,2026-01-22,7086,Python básico,,20,Abandonado
231,2025-01-25,7012,Gestión de proyectos,,17,Abandonado
232,2025-04-28,7027,Marketing digital,6.5,41,Completado
233,2025-02-28,7026,Visualización,,15,Abandonado
234,2025-08-11,7041,Marketing digital,,38,En curso
235,2025-03-01,7026,Python básico,3.6,46,Completado
236,2025-02-23,7005,Visualización,,4,Abandonado
237,2026-06-18,7071,SQL para datos,,46,En curso
238,2026-06-29,7001,Python básico,,11,En curso
239,2025-08-25,7068,Gestión de proyectos,,44,Abandonado
240,2025-07-04,7036,Python básico,5.3,39,Completado
241,2025-08-14,7030,Finanzas personales,9.5,26,Completado
242,2026-03-04,7055,Marketing digital,4.7,10,Completado
243,2025-01-26,7069,SQL para datos,,8,Abandonado
244,2026-03-16,7018,SQL para datos,,22,Abandonado
245,2026-04-15,7074,Cloud Computing,,49,En curso
246,2025-08-14,7059,SQL para datos,9.1,53,Completado
247,2026-07-16,7012,Visualización,9.9,43,Completado
248,2026-03-20,7032,Finanzas personales,9.0,59,Completado
249,2026-04-04,7026,Cloud Computing,,8,Abandonado
250,2026-08-22,7013,SQL para datos,,47,Abandonado
251,2025-08-27,7040,Finanzas personales,7.7,26,Completado
252,2025-01-30,7046,SQL para datos,,25,Abandonado
253,2026-05-06,7063,SQL para datos,,32,En curso
254,2026-02-12,7064,Machine Learning,,42,En curso
255,2025-08-10,7068,Marketing digital,,59,Abandonado
256,2026-07-12,7031,Gestión de proyectos,,1,En curso
257,2026-02-11,7012,Machine Learning,,29,Abandonado
258,2025-07-08,7052,Marketing digital,7.1,27,Completado
259,2026-06-12,7056,Python básico,,36,En curso
260,2025-07-19,7090,Finanzas personales,,41,Abandonado
261,2025-11-29,7051,Machine Learning,9.6,11,Completado
262,2026-07-05,7071,Python básico,,29,Abandonado
263,2026-08-21,7038,Visualización,,51,Abandonado
264,2026-07-03,7041,SQL para datos,,8,Abandonado
265,2026-05-04,7042,Finanzas personales,,29,En curso
266,2025-11-27,7020,Finanzas personales,,24,En curso
267,2025-07-12,7038,Gestión de proyectos,6.8,47,Completado
268,2025-03-16,7069,Cloud Computing,5.2,7,Completado
269,2026-02-01,7057,Gestión de proyectos,9.2,30,Completado
270,2025-07-12,7071,SQL para datos,,52,Abandonado
271,2025-12-27,7018,Marketing digital,,22,Abandonado
272,2026-06-30,7012,Finanzas personales,,5,Abandonado
273,2025-11-12,7083,Marketing digital,8.9,2,Completado
274,2026-01-05,7008,Python básico,,0,Abandonado
275,2025-07-05,7078,Finanzas personales,4.8,35,Completado
276,2026-04-20,7063,Python básico,,40,En curso
277,2025-01-18,7030,Machine Learning,,37,Abandonado
278,2025-06-03,7026,Gestión de proyectos,3.9,40,Completado
279,2026-02-05,7002,Python básico,7.5,31,Completado
280,2025-01-24,7036,Marketing digital,7.0,42,Completado
281,2025-12-19,7083,Machine Learning,,11,Abandonado
282,2026-02-22,7021,Visualización,9.0,52,Completado
283,2026-07-29,7016,Python básico,,24,Abandonado
284,2026-05-26,7022,Visualización,3.1,1,Completado
285,2025-06-26,7018,Marketing digital,,41,En curso
286,2026-08-11,7055,Finanzas personales,4.8,23,Completado
287,2025-10-23,7031,Python básico,,44,En curso
288,2025-04-05,7042,Cloud Computing,,19,En curso
289,2026-01-12,7051,Marketing digital,,43,Abandonado
290,2025-02-20,7064,Marketing digital,,34,En curso
291,2025-11-08,7064,Cloud Computing,5.5,60,Completado
292,2025-03-09,7048,Cloud Computing,4.8,24,Completado
293,2026-07-17,7084,Marketing digital,,22,En curso
294,2025-10-02,7066,Visualización,7.7,50,Completado
295,2025-08-23,7038,Gestión de proyectos,,41,Abandonado
296,2025-06-13,7071,Marketing digital,,53,En curso
297,2026-02-06,7064,Cloud Computing,6.0,33,Completado
298,2026-04-17,7041,Finanzas personales,4.1,23,Completado
299,2025-01-05,7068,Cloud Computing,,15,En curso
300,2026-02-23,7021,Visualización,,42,Abandonado
301,2025-11-04,7084,Visualización,,55,En curso
302,2025-12-12,7056,Python básico,,22,Abandonado
303,2025-11-09,7004,Gestión de proyectos,,51,Abandonado
304,2025-02-02,7008,Machine Learning,,34,En curso
305,2026-04-20,7035,Machine Learning,,46,En curso
306,2025-10-15,7002,Machine Learning,6.2,58,Completado
307,2026-04-24,7078,Finanzas personales,7.0,14,Completado
308,2025-11-19,7063,Cloud Computing,8.9,40,Completado
309,2025-01-05,7045,Visualización,,35,Abandonado
310,2025-12-10,7004,Gestión de proyectos,6.0,7,Completado
311,2025-01-05,7046,Cloud Computing,7.7,21,Completado
312,2025-07-09,7003,SQL para datos,,19,Abandonado
313,2025-08-21,7027,SQL para datos,,8,En curso
314,2025-09-29,7060,Visualización,,52,Abandonado
315,2025-12-05,7029,Visualización,,5,En curso
316,2025-12-28,7013,Python básico,4.0,17,Completado
317,2026-01-02,7022,Machine Learning,,56,En curso
318,2025-06-02,7059,Marketing digital,,53,En curso
319,2025-07-07,7087,Gestión de proyectos,,7,En curso
320,2026-05-23,7089,Visualización,6.7,33,Completado
321,2025-12-25,7025,Gestión de proyectos,,18,Abandonado
322,2026-03-18,7044,Python básico,4.8,51,Completado
323,2025-03-24,7078,Visualización,,20,Abandonado
324,2025-11-08,7013,Gestión de proyectos,6.3,53,Completado
325,2025-08-14,7046,Finanzas personales,,44,En curso
326,2025-05-19,7005,Finanzas personales,,11,En curso
327,2025-07-24,7070,Visualización,5.9,28,Completado
328,2025-04-08,7033,Machine Learning,,54,En curso
329,2025-11-22,7012,Finanzas personales,,23,Abandonado
330,2025-06-20,7055,Marketing digital,,16,Abandonado
331,2025-01-30,7013,Cloud Computing,8.3,33,Completado
332,2026-03-29,7016,Marketing digital,,10,Abandonado
333,2025-03-02,7002,Marketing digital,,36,Abandonado
334,2026-03-18,7030,Visualización,7.2,1,Completado
335,2025-12-11,7031,SQL para datos,,27,Abandonado
336,2025-02-03,7064,Gestión de proyectos,5.2,46,Completado
337,2026-07-07,7079,Machine Learning,,58,Abandonado
338,2026-03-05,7017,Finanzas personales,,14,Abandonado
339,2025-08-09,7087,Cloud Computing,9.6,50,Completado
340,2026-07-24,7030,Python básico,,19,Abandonado
341,2025-04-03,7065,Cloud Computing,,41,En curso
342,2025-09-06,7020,Marketing digital,4.0,19,Completado
343,2025-05-29,7047,Machine Learning,9.0,50,Completado
344,2025-05-16,7031,Finanzas personales,4.7,23,Completado
345,2026-01-23,7048,Finanzas personales,,11,En curso
346,2025-03-07,7078,SQL para datos,,45,Abandonado
347,2025-01-25,7043,Cloud Computing,,40,En curso
348,2026-06-18,7034,Visualización,9.3,41,Completado
349,2026-01-17,7039,Visualización,6.1,58,Completado
350,2025-06-10,7011,Finanzas personales,7.8,30,Completado
351,2025-04-20,7016,Gestión de proyectos,,1,Abandonado
352,2025-04-28,7053,Finanzas personales,7.8,38,Completado
353,2025-12-14,7017,SQL para datos,,58,En curso
354,2026-06-06,7058,SQL para datos,9.0,53,Completado
355,2025-03-27,7055,Python básico,7.8,46,Completado
356,2025-08-23,7065,Machine Learning,,10,En curso
357,2026-07-18,7013,Visualización,,25,Abandonado
358,2026-03-30,7073,Visualización,8.5,43,Completado
359,2026-05-11,7059,SQL para datos,,49,En curso
360,2025-05-21,7004,Finanzas personales,,31,En curso
361,2025-10-27,7001,Gestión de proyectos,,54,En curso
362,2025-03-24,7077,Gestión de proyectos,,55,Abandonado
363,2025-11-22,7026,Python básico,4.8,0,Completado
364,2026-01-22,7023,Visualización,3.9,35,Completado
365,2025-02-05,7064,Visualización,,47,Abandonado
366,2025-12-21,7040,Python básico,,10,Abandonado
367,2026-05-31,7077,Marketing digital,,28,En curso
368,2025-02-18,7051,Cloud Computing,4.7,0,Completado
369,2025-07-30,7078,Cloud Computing,,26,Abandonado
370,2026-04-16,7088,Gestión de proyectos,,19,Abandonado
371,2025-05-30,7081,Visualización,6.8,50,Completado
372,2026-06-02,7055,SQL para datos,,2,Abandonado
373,2025-05-16,7010,Finanzas personales,8.8,11,Completado
374,2025-11-18,7010,SQL para datos,9.1,15,Completado
375,2026-01-20,7032,Python básico,,6,En curso
376,2025-06-13,7070,Machine Learning,,0,En curso
377,2026-07-15,7013,Machine Learning,6.7,23,Completado
378,2026-07-18,7031,Visualización,3.2,43,Completado
379,2026-02-01,7010,SQL para datos,,46,Abandonado
380,2025-08-16,7082,Marketing digital,,53,En curso
381,2025-03-30,7002,Finanzas personales,6.8,15,Completado
382,2025-01-13,7049,Finanzas personales,,47,Abandonado
383,2025-11-10,7066,Finanzas personales,,27,Abandonado
384,2025-01-24,7062,Gestión de proyectos,3.3,8,Completado
385,2025-04-13,7011,Python básico,,30,En curso
386,2025-04-27,7002,Marketing digital,,15,En curso
387,2026-01-09,7035,Python básico,,50,Abandonado
388,2026-06-30,7084,Gestión de proyectos,,6,Abandonado
389,2026-06-26,7024,Gestión de proyectos,6.2,5,Completado
390,2025-03-24,7015,Cloud Computing,,51,Abandonado
391,2026-01-06,7083,Cloud Computing,,59,En curso
392,2026-04-29,7047,Machine Learning,,39,En curso
393,2025-12-13,7051,Marketing digital,,52,En curso
394,2025-07-10,7015,Finanzas personales,,27,Abandonado
395,2026-04-02,7064,SQL para datos,4.7,44,Completado
396,2026-05-28,7087,Marketing digital,,48,Abandonado
397,2025-09-04,7019,Gestión de proyectos,,25,En curso
398,2026-01-26,7014,Finanzas personales,8.2,34,Completado
399,2026-05-22,7029,Visualización,5.6,29,Completado
400,2026-06-22,7013,Finanzas personales,6.8,47,Completado
401,2025-05-24,7037,Visualización,4.2,43,Completado
402,2025-10-23,7084,Marketing digital,,4,Abandonado
403,2026-02-05,7039,Marketing digital,,11,En curso
404,2025-07-29,7064,Visualización,,0,En curso
405,2025-04-24,7038,SQL para datos,,51,Abandonado
406,2025-04-10,7059,Cloud Computing,,11,En curso
407,2025-04-15,7081,Gestión de proyectos,,11,Abandonado
408,2025-08-21,7038,SQL para datos,,38,Abandonado
409,2026-03-08,7051,Visualización,,56,Abandonado
410,2026-05-06,7054,Python básico,,53,En curso
411,2025-11-17,7033,Marketing digital,,34,En curso
412,2026-06-07,7073,Finanzas personales,,59,En curso
413,2026-07-27,7003,Visualización,5.6,0,Completado
414,2026-07-09,7004,Visualización,,31,En curso
415,2025-08-22,7088,Marketing digital,,46,Abandonado
416,2025-03-22,7030,Gestión de proyectos,,36,Abandonado
417,2025-05-29,7024,SQL para datos,,42,Abandonado
418,2025-03-01,7083,Marketing digital,6.4,21,Completado
419,2025-02-14,7077,Cloud Computing,5.0,3,Completado
420,2025-05-29,7049,SQL para datos,,5,Abandonado
421,2025-06-24,7070,Machine Learning,,32,En curso
422,2026-05-07,7021,SQL para datos,,33,En curso
423,2025-04-27,7025,Finanzas personales,3.6,44,Completado
424,2025-02-24,7075,Finanzas personales,,21,En curso
425,2026-06-23,7087,Cloud Computing,,53,En curso
426,2025-10-19,7074,Finanzas personales,,39,En curso
427,2025-05-19,7077,SQL para datos,5.2,31,Completado
428,2026-02-24,7016,Gestión de proyectos,5.0,26,Completado
429,2025-04-08,7046,SQL para datos,,60,Abandonado
430,2025-03-20,7002,Finanzas personales,,13,En curso
431,2025-11-17,7081,Marketing digital,,55,Abandonado
432,2025-07-24,7032,SQL para datos,10.0,10,Completado
433,2026-01-11,7077,Gestión de proyectos,,28,En curso
434,2026-03-01,7023,SQL para datos,,26,Abandonado
435,2026-02-25,7077,Visualización,,31,En curso
436,2025-03-14,7072,SQL para datos,,36,Abandonado
437,2026-08-18,7028,Python básico,,25,Abandonado
438,2025-04-27,7068,Visualización,7.9,41,Completado
439,2025-03-20,7002,Marketing digital,,31,En curso
440,2025-06-25,7045,SQL para datos,8.6,24,Completado
441,2025-07-19,7029,Marketing digital,,58,Abandonado
442,2026-06-24,7016,Gestión de proyectos,3.5,17,Completado
443,2025-02-16,7075,Cloud Computing,8.3,44,Completado
444,2025-06-17,7078,Gestión de proyectos,4.7,47,Completado
445,2026-06-13,7038,Gestión de proyectos,,32,En curso
446,2026-03-08,7029,Visualización,,43,En curso
447,2026-07-16,7077,SQL para datos,,9,Abandonado
448,2025-08-12,7062,Machine Learning,,9,En curso
449,2025-04-19,7042,Finanzas personales,,51,En curso
450,2025-07-08,7035,Gestión de proyectos,8.8,35,Completado
451,2025-09-18,7009,Finanzas personales,,55,Abandonado
452,2025-04-19,7054,Machine Learning,9.3,45,Completado
453,2025-02-08,7025,SQL para datos,,44,En curso
454,2025-08-27,7070,Cloud Computing,,22,En curso
455,2026-07-23,7034,Cloud Computing,8.8,20,Completado
456,2025-08-11,7030,Python básico,5.2,38,Completado
457,2026-04-27,7032,Marketing digital,9.3,33,Completado
458,2025-12-12,7085,Python básico,,41,Abandonado
459,2025-11-10,7076,Gestión de proyectos,,56,En curso
460,2026-04-21,7075,Machine Learning,,40,Abandonado
461,2025-02-02,7036,Machine Learning,,44,Abandonado
462,2026-05-11,7014,Visualización,,21,En curso
463,2026-06-05,7084,SQL para datos,5.9,4,Completado
464,2026-04-27,7027,Visualización,9.7,59,Completado
465,2025-01-30,7055,Finanzas personales,,44,En curso
466,2025-08-20,7018,Cloud Computing,6.4,0,Completado
467,2025-05-16,7024,Machine Learning,,41,En curso
468,2025-10-04,7022,SQL para datos,,44,Abandonado
469,2025-08-24,7079,Python básico,,26,Abandonado
470,2025-08-29,7087,Marketing digital,4.3,20,Completado
471,2026-07-12,7040,SQL para datos,3.7,41,Completado
472,2025-10-02,7040,Machine Learning,,18,En curso
473,2025-06-09,7071,Python básico,,10,En curso
474,2025-09-08,7089,Gestión de proyectos,,0,En curso
475,2025-11-12,7090,Finanzas personales,,26,Abandonado
476,2025-04-04,7045,SQL para datos,,42,Abandonado
477,2025-03-08,7066,Gestión de proyectos,,26,En curso
478,2026-08-13,7036,Cloud Computing,7.3,6,Completado
479,2025-12-26,7040,Visualización,,39,En curso
480,2025-03-08,7070,Visualización,,29,Abandonado
481,2025-11-15,7005,Machine Learning,,19,En curso
482,2025-02-27,7042,Machine Learning,7.8,24,Completado
483,2025-03-14,7010,Python básico,,41,Abandonado
484,2026-01-28,7026,Gestión de proyectos,,39,En curso
485,2025-06-29,7035,Python básico,8.2,40,Completado
486,2026-01-26,7023,Marketing digital,6.4,37,Completado
487,2025-06-27,7085,Machine Learning,,36,En curso
488,2026-01-28,7045,SQL para datos,4.6,36,Completado
489,2026-07-09,7033,Visualización,8.8,38,Completado
490,2025-08-25,7087,Cloud Computing,8.9,8,Completado
491,2025-06-02,7036,Cloud Computing,,0,Abandonado
492,2025-07-01,7049,Visualización,,17,En curso
493,2025-11-04,7053,Visualización,4.4,60,Completado
494,2025-08-02,7031,Finanzas personales,,23,En curso
495,2026-06-24,7014,Marketing digital,,27,Abandonado
496,2025-02-08,7079,Marketing digital,,49,En curso
497,2025-06-29,7047,Cloud Computing,,15,En curso
498,2025-05-17,7072,Gestión de proyectos,5.7,21,Completado
499,2025-10-03,7003,Visualización,,21,En curso
